ID,Partition sizes
157,"1, 1, 2, 3, 6, 10, 18, 21, 36, 43, 57, 58"
158,"1, 1, 1, 2, 2, 4, 4, 10, 17, 23, 39, 44, 52, 56"
159,"1, 1, 1, 1, 3, 3, 11, 11, 11, 15, 31, 49, 52, 66"
160,"1, 1, 1, 2, 2, 6, 8, 8, 16, 19, 28, 44, 54, 66"
161,"1, 1, 1, 2, 3, 3, 3, 11, 13, 16, 16, 27, 77, 82"
162,"1, 1, 1, 1, 2, 2, 5, 5, 8, 15, 17, 31, 44, 53, 70"
163,"1, 1, 1, 1, 1, 1, 2, 2, 3, 7, 14, 26, 32, 35, 60, 69"
164,"1, 1, 1, 2, 3, 5, 5, 7, 18, 24, 27, 40, 54, 68"
165,"1, 1, 1, 1, 1, 1, 2, 3, 7, 10, 13, 13, 17, 24, 78, 83"
166,"1, 1, 1, 1, 1, 2, 2, 3, 6, 10, 11, 14, 19, 45, 51, 88"
167,"1, 1, 1, 1, 1, 2, 6, 6, 7, 17, 18, 27, 45, 56, 67"
168,"1, 1, 1, 2, 2, 3, 3, 5, 8, 11, 13, 36, 49, 49, 72"
169,"1, 1, 1, 2, 2, 2, 4, 5, 7, 9, 15, 30, 40, 63, 74"
170,"1, 1, 1, 1, 1, 1, 2, 3, 5, 7, 14, 17, 29, 47, 54, 72"
171,"1, 1, 1, 1, 3, 5, 5, 9, 19, 21, 28, 42, 51, 69"
172,"1, 1, 1, 2, 2, 2, 2, 4, 6, 13, 24, 37, 48, 56, 57"
173,"1, 1, 1, 2, 2, 3, 5, 5, 6, 12, 16, 29, 47, 56, 70"
174,"1, 1, 1, 2, 2, 2, 2, 2, 10, 16, 18, 29, 44, 50, 76"
175,"1, 1, 1, 1, 2, 2, 3, 5, 21, 23, 37, 45, 56, 58"
176,"1, 2, 2, 3, 4, 4, 6, 15, 20, 26, 45, 58, 70"
177,"1, 1, 1, 1, 1, 2, 3, 3, 3, 3, 16, 22, 29, 40, 56, 74"
178,"1, 2, 2, 2, 4, 6, 12, 13, 28, 32, 34, 58, 62"
179,"1, 1, 1, 1, 2, 5, 9, 11, 11, 14, 31, 52, 53, 64"
180,"1, 1, 1, 2, 2, 2, 2, 3, 6, 22, 23, 24, 43, 52, 72"
181,"1, 1, 1, 1, 1, 1, 2, 8, 13, 14, 18, 24, 37, 48, 86"
182,"1, 1, 1, 1, 1, 1, 1, 9, 11, 19, 22, 28, 36, 55, 69"
183,"1, 1, 1, 1, 3, 3, 4, 8, 12, 20, 27, 30, 61, 84"
184,"1, 1, 1, 1, 1, 2, 5, 5, 5, 6, 7, 15, 31, 38, 67, 70"
185,"1, 1, 1, 1, 1, 5, 8, 11, 11, 15, 24, 46, 52, 79"
186,"1, 1, 1, 1, 2, 3, 4, 6, 7, 14, 18, 29, 46, 54, 69"
